username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Gino09071959;2016-06-03 10:26;0;0;"# Brexit *sigh*";;;#;"738648094942887936";https://twitter.com/Gino09071959/status/738648094942887936
neildougan;2016-06-02 10:09;0;0;"@ StephenNolan @ BBCNolan I pray that if # Brexit leads to the return of border checkpoints The Boy's Brigade ceasefire holds.";;@ @;#;"738281291456598016";https://twitter.com/neildougan/status/738281291456598016
neildougan;2016-05-15 00:22;1;1;"OK Europe so now your plan becomes clear. The UK votes for # Brexit and you get Australia to replace us.";;;#;"731610602209185792";https://twitter.com/neildougan/status/731610602209185792
ItsFairlyGrim;2016-05-14 03:02;0;0;"Sir John Major.. Fair play to you. # Brexit";;;#;"731288654363164676";https://twitter.com/ItsFairlyGrim/status/731288654363164676
neildougan;2016-02-27 02:07;0;0;"The whole # brexit debate will not matter one flying fuck if @ realDonaldTrump becomes president.";;@;#;"703385823354482689";https://twitter.com/neildougan/status/703385823354482689
neildougan;2016-02-25 23:48;0;0;"# Brexit have finally found something I disagree with @ KateHoeyMP on.";;@;#;"702988516867891200";https://twitter.com/neildougan/status/702988516867891200
dgsbelfast;2016-02-23 18:48;0;0;"http://grassrootsout.co.uk/events/2016/2/22/new-belfast-event-4th-march … # BREXIT";;;#;"702188269962981377";https://twitter.com/dgsbelfast/status/702188269962981377
dgsbelfast;2016-02-15 16:57;0;0;"What will # BREXIT affect those already here. http://www.breitbart.com/london/2016/02/08/tension-on-streets-of-crewe-like-civil-war-after-migrant-kids-attack-uk-schoolchildren/ …";;;#;"699261308328402947";https://twitter.com/dgsbelfast/status/699261308328402947pandbbookshop;2016-06-14 00:30;0;0;"Schrödinger's immigrant - the one that lazes about all day on benefits whilst simultaneously stealing your job # Brexit";;;#;"742484339674472448";https://twitter.com/pandbbookshop/status/742484339674472448
andreausu;2016-06-13 15:07;0;0;"Welcome to Belfast # brexit # northernireland # belfast @Belfast, United Kingdom https://www.instagram.com/p/BGmIKp-xnA9/";;@Belfast;# # #;"742342537906683905";https://twitter.com/andreausu/status/742342537906683905
Gino09071959;2016-06-10 00:15;0;1;"# Brexit the same british gov whose austerity cuts YOU imposed?";;;#;"741031039066312704";https://twitter.com/Gino09071959/status/741031039066312704
antainemacaoidh;2016-06-07 22:13;0;0;"Getting angry and annoyed with misinformation aesthetic # EUReferendumReady # Brexit @St Mary's… https://www.instagram.com/p/BGXcKbdTYAt/";;@St;# #;"740275453483585537";https://twitter.com/antainemacaoidh/status/740275453483585537
Gino09071959;2016-06-03 10:26;0;0;"# Brexit *sigh*";;;#;"738648094942887936";https://twitter.com/Gino09071959/status/738648094942887936
neildougan;2016-06-02 10:09;0;0;"@ StephenNolan @ BBCNolan I pray that if # Brexit leads to the return of border checkpoints The Boy's Brigade ceasefire holds.";;@ @;#;"738281291456598016";https://twitter.com/neildougan/status/738281291456598016
neildougan;2016-05-15 00:22;1;1;"OK Europe so now your plan becomes clear. The UK votes for # Brexit and you get Australia to replace us.";;;#;"731610602209185792";https://twitter.com/neildougan/status/731610602209185792
neildougan;2016-02-27 02:07;0;0;"The whole # brexit debate will not matter one flying fuck if @ realDonaldTrump becomes president.";;@;#;"703385823354482689";https://twitter.com/neildougan/status/703385823354482689
neildougan;2016-02-25 23:48;0;0;"# Brexit have finally found something I disagree with @ KateHoeyMP on.";;@;#;"702988516867891200";https://twitter.com/neildougan/status/702988516867891200
dgsbelfast;2016-02-23 18:48;0;0;"http://grassrootsout.co.uk/events/2016/2/22/new-belfast-event-4th-march … # BREXIT";;;#;"702188269962981377";https://twitter.com/dgsbelfast/status/702188269962981377
dgsbelfast;2016-02-15 16:57;0;0;"What will # BREXIT affect those already here. http://www.breitbart.com/london/2016/02/08/tension-on-streets-of-crewe-like-civil-war-after-migrant-kids-attack-uk-schoolchildren/ …";;;#;"699261308328402947";https://twitter.com/dgsbelfast/status/699261308328402947Gino09071959;2016-06-16 00:33;0;0;"# NIDecides # EURef Nope I still have no faith in politicians and will not be voting";;;# #;"743209860729282560";https://twitter.com/Gino09071959/status/743209860729282560
Gino09071959;2016-06-16 00:24;0;0;"# EUref # NIdecides he has made a career out of it and propped up Tony Bliar";;;# #;"743207622858391553";https://twitter.com/Gino09071959/status/743207622858391553
Gino09071959;2016-06-16 00:12;0;1;"# NIDecides # nolanlive # EURef # VoteLeave she lets herself down when shouting - as they all do";;;# # # #;"743204664884215808";https://twitter.com/Gino09071959/status/743204664884215808
DrClaireRush;2016-06-11 11:00;1;5;"Postal vote completed for # EUref. Proud to # votein because we are # StrongerTogetherpic.twitter.com/AFV0dVawjK";;;# # #;"741555746761003008";https://twitter.com/DrClaireRush/status/741555746761003008
AndrewMuckaluck;2016-06-03 12:16;0;0;"I'd love a postal vote please. Am # EURef (@Newtownabbey electoral office in Glengormley, Antrim) https://www.swarmapp.com/c/jSnwGxMLFmL";;@Newtownabbey;#;"738675798308184064";https://twitter.com/AndrewMuckaluck/status/738675798308184064
Gino09071959;2016-05-31 14:24;0;0;"# euref I'm a very peaceful and law-abiding individual but I don't need to be given money to be so!";;;#;"737620807543705606";https://twitter.com/Gino09071959/status/737620807543705606_PatchAdams;2016-06-06 15:55;0;0;"Check out # wolfgangtillmans series of posters for the # uk # eureferendum # strongerin # remain… https://www.instagram.com/p/BGUMIvHp0TA/";;;# # # # #;"739817992826019840";https://twitter.com/_PatchAdams/status/739817992826019840dawnvhardy;2016-02-19 23:29;0;0;"" @ polleetickle: # eureform: new deal ... until Monday? # eusummit # euco pic.twitter.com/zB1MXCK5xU" Can't trust Schultz or Junker!!!";;@;# # #;"700809544256118784";https://twitter.com/dawnvhardy/status/700809544256118784dinahkeal;2016-03-08 20:02;0;0;"Find out why we’re # INtogether this International Women’s day # IWD2016: https://www.youtube.com/watch?v=-567iYZFGO4&feature=youtu.be …";;;# #;"707280401476231169";https://twitter.com/dinahkeal/status/707280401476231169_PatchAdams;2016-06-06 16:00;0;0;"If the # UK leaves, that's it. We can't return. # strongerin # remain @Belfast, United Kingdom https://www.instagram.com/p/BGUMsrgJ0Ud/";;@Belfast;# # #;"739819228568682496";https://twitter.com/_PatchAdams/status/739819228568682496
_PatchAdams;2016-06-06 15:55;0;0;"Check out # wolfgangtillmans series of posters for the # uk # eureferendum # strongerin # remain… https://www.instagram.com/p/BGUMIvHp0TA/";;;# # # # #;"739817992826019840";https://twitter.com/_PatchAdams/status/739817992826019840_PatchAdams;2016-06-06 16:18;0;0;"How can you "keep an eye" on border travel without check points? This makes no sense # strongerin… https://www.instagram.com/p/BGUOylWp0aK/";;;#;"739823828658991104";https://twitter.com/_PatchAdams/status/739823828658991104
_PatchAdams;2016-06-06 16:00;0;0;"If the # UK leaves, that's it. We can't return. # strongerin # remain @Belfast, United Kingdom https://www.instagram.com/p/BGUMsrgJ0Ud/";;@Belfast;# # #;"739819228568682496";https://twitter.com/_PatchAdams/status/739819228568682496
_PatchAdams;2016-06-06 15:55;0;0;"Check out # wolfgangtillmans series of posters for the # uk # eureferendum # strongerin # remain… https://www.instagram.com/p/BGUMIvHp0TA/";;;# # # # #;"739817992826019840";https://twitter.com/_PatchAdams/status/739817992826019840
