username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
verweisung;2016-06-16 22:22;0;2;"Gotta love my neighbourhood. # harringay # brexit # remain @Harringay Green Lanes railway station https://www.instagram.com/p/BGuoZzrDL4t/";;@Harringay;# # #;"743539326936571904";https://twitter.com/verweisung/status/743539326936571904
jarede;2016-06-16 21:51;0;0;"a vote for brexit is a vote of no confidence";;;;"743531425777979392";https://twitter.com/jarede/status/743531425777979392
SteveKuncewicz;2016-06-16 20:23;0;1;"# brexit Debate. Today's events cast a dark shadow over the whole issue. Hoping for some sane viewpoints. https://www.swarmapp.com/c/5Wy9sLnTiyT";;;#;"743509243869945857";https://twitter.com/SteveKuncewicz/status/743509243869945857
Newsminster;2016-06-16 20:18;0;0;"Why the Bank of England was right to reveal Brexit anxiety http://bit.ly/24UfLHv # Politicspic.twitter.com/lWx1mE75K1";;;#;"743507991110946816";https://twitter.com/Newsminster/status/743507991110946816
techUKdepCEO;2016-06-16 19:51;1;0;"Is UK tech about to pack its bags? Would # brexit kill the UK's fantastic tech ecosystem? # Eutech";;;# #;"743501318455701505";https://twitter.com/techUKdepCEO/status/743501318455701505
EricJohnBrunner;2016-06-16 19:35;0;1;"@ melb4886 # Brexit Tragedy begins. Jo Cox the first one. I fear for the future.";;@;#;"743497149510475776";https://twitter.com/EricJohnBrunner/status/743497149510475776
techUKdepCEO;2016-06-16 19:34;0;4;"Debating # eutech & # brexit with huge sadness in our hearts @ JdR_Techpic.twitter.com/niCZJWcSNO";;@;# #;"743496931557638144";https://twitter.com/techUKdepCEO/status/743496931557638144
EricJohnBrunner;2016-06-16 19:29;0;0;"@ martinmckee # Brexit Jo Cox martyred for European unity.";;@;#;"743495683076988928";https://twitter.com/EricJohnBrunner/status/743495683076988928
elpgb;2016-06-16 19:16;1;1;"@ PaulStreeting austerity and the messages coming from Brexit stir up hatred the world is a horrible place";;@;;"743492434085150721";https://twitter.com/elpgb/status/743492434085150721
attikac;2016-06-16 19:06;2;8;"Just another day at the office... @ HouseofCommons # parliament # cloudy # work # london # travel # brexit # eureferendumpic.twitter.com/2SMqoPOmY5 – bei House Of Commons";;@;# # # # # # #;"743489925421608960";https://twitter.com/attikac/status/743489925421608960
andrewgerrard;2016-06-16 19:01;0;2;"# London # Tech # Talent & the # EU # Brexit debate # EUtech # TLA (at @ Bloomberg in City of London, Greater London)https://www.swarmapp.com/c/2RA1k0wubpL";;@;# # # # # # #;"743488632351260673";https://twitter.com/andrewgerrard/status/743488632351260673
actionjulez;2016-06-16 18:38;0;0;"Keep it - have you forgotten how we got here in the first place # vote to stay # brexit # united… https://www.instagram.com/p/BGuOujHQ4y8/";;;# # #;"743482869733957632";https://twitter.com/actionjulez/status/743482869733957632
OliverBanks;2016-06-16 18:28;0;1;"If this is - as rumoured - related to the Brexit campaign, it's a travesty that someone has seen fit to kill a public servant over it.";;;;"743480331408392192";https://twitter.com/OliverBanks/status/743480331408392192
DailyHEREFORD;2016-06-16 17:24;0;0;"UKIP Brexit battle bus attracts vote leave supporters in # RossOnWye http://j.mp/1Q8ilIt # Herefordshirepic.twitter.com/JmG6bW47pR";;;# #;"743464205404123136";https://twitter.com/DailyHEREFORD/status/743464205404123136
DailyOXFORD;2016-06-16 17:10;0;0;"Street poll suggests Didcot backs Brexit http://j.mp/23e8xP3 # Oxonpic.twitter.com/dXYnYYWYHf";;;#;"743460803538411520";https://twitter.com/DailyOXFORD/status/743460803538411520
BroughtonTowers;2016-06-16 17:04;0;0;"Brexit would be GOOD for the EU, says top German Eurocrat http://dailym.ai/1txPUd3  viahttp://dailym.ai/android";;;;"743459243915939844";https://twitter.com/BroughtonTowers/status/743459243915939844
DailyGLAMORGAN;2016-06-16 16:59;0;0;"The leaders of the UK's biggest cities say 'Brexit is not worth the risk' http://j.mp/1Q8d1EL # Cymrupic.twitter.com/hBbcqLWQ2g";;;#;"743457893354082304";https://twitter.com/DailyGLAMORGAN/status/743457893354082304
