AranSuleyman;18/06/2016 16:27;0;0;Leave! RT @ ParisaClovis: Brexit or Bremain?;;@;;7,44175E+17;https://twitter.com/AranSuleyman/status/744174663408955392
ArbitralEGG;17/06/2016 23:28;1;0;Is # Brexit good or bad for London as a seat for # arbitration?;;;# #;7,43918E+17;https://twitter.com/ArbitralEGG/status/743918230390120448
Arlanfor;19/06/2016 06:17;1;0;Vote leave # Brexit pic.twitter.com/SOI8VvILAR;;;#;7,44384E+17;https://twitter.com/Arlanfor/status/744383627950194688
BOPJazzUK;20/06/2016 16:50;2;4;Countdown to Thursday 23rd ... No not # BREXIT but # BOPJAZZTHEATRE IT!! Come join us for a… https://www.instagram.com/p/BG4Vl51sw9a/;;;# #;7,44905E+17;https://twitter.com/BOPJazzUK/status/744905343013027840
BREMAC9;21/06/2016 10:15;0;0;If in doubt,Wheel David Beckham out! Haha FFS. # Remain camp using the Beckham is embarrassing # Brexit # brexit;;;# # #;7,45168E+17;https://twitter.com/BREMAC9/status/745168361873563648
BaltimoreCP;16/06/2016 12:21;0;0;What will immigration look like under Brexit? http://dlvr.it/LZW1Pl;;;;7,43388E+17;https://twitter.com/BaltimoreCP/status/743388063934472192
BascPere;19/06/2016 18:28;0;0;@ JmGarretas Yo creo que es un daño colateral al no Brexit, el tiempo nos lo dira!;;@;;7,44567E+17;https://twitter.com/BascPere/status/744567493742706689
BeerBizDaily;20/06/2016 18:08;0;0;John Oliver on Brexit. Absolutely Brilliant. RT Last Week Tonight with John Oliver: Brexit (HBO) https://youtu.be/iAgKHSNqxa8;;;;7,44925E+17;https://twitter.com/BeerBizDaily/status/744924945583484929
BeerBizDaily;21/06/2016 22:44;1;3;I love how cute Britain is. Most important vote modern history, each side spends 3 million quid promoting. # brexit pic.twitter.com/HZcqg6iIJ8;;;#;7,45357E+17;https://twitter.com/BeerBizDaily/status/745356753768853505
BeerBizDaily;21/06/2016 22:49;1;0;3 million quid spent by each side on # brexit. That's a county commissioner primary in the US.;;;#;7,45358E+17;https://twitter.com/BeerBizDaily/status/745357956665925633
BernardFassone;15/06/2016 09:05;0;0;Putting up dodgy & # dangerousfences # brexit 8 days to go 2 # eureferendum2016 # voteremain my… https://www.instagram.com/p/BGqoS8EqMKz/;;;# # # #;7,42976E+17;https://twitter.com/BernardFassone/status/742976213610864642
BertieOnSea;21/06/2016 15:44;2;1;Cracked screen Lump on forehead Sick on shoes Couldn't have been more brexit if I'd tried last night.;;;;7,45251E+17;https://twitter.com/BertieOnSea/status/745251085506449408
BobDuffield;15/06/2016 13:37;0;0;# PMQs Cameron's tone is teetering on the hysterical. He looks tired and seriously under slept. He'll shortly get a long lie-in. # Brexit;;;# #;7,43045E+17;https://twitter.com/BobDuffield/status/743044847309819904
BobDuffield;15/06/2016 15:12;0;0;@ montie PMQs turned Parliament into an echo-chamber for # Remain. If # Brexit wins can we trust MPs to implement the will of the People?;;@;# #;7,43069E+17;https://twitter.com/BobDuffield/status/743068698387308544
BobDuffield;15/06/2016 21:51;1;2;@ iVoteLeave Oh Feck! That didn't go well. Looking forward to QT - he could drum up even more # Brexit votes than Eddie Izzard!;;@;#;7,43169E+17;https://twitter.com/BobDuffield/status/743168981658329090
BobDuffield;18/06/2016 01:25;0;1;@ iVoteLeave A visceral polemic that misjudges the mood for political change at the grass roots.EU and USA are dinosaurs#Brexit;;@;#Brexit;7,43948E+17;https://twitter.com/BobDuffield/status/743947705379065860
BobDuffield;20/06/2016 01:51;0;0;Don't forget the shy Brexiteers - plus massive support in Labour heartlands. We will win this. # Brexit;;;#;7,44679E+17;https://twitter.com/BobDuffield/status/744679078121324545
BobDuffield;20/06/2016 08:24;2;4;@ iVoteLeave @GavinBarwellMP Cameron is bricking it after QT roasting. So put in a call to Warsi. Expect a # Brexit earthquake;;@ @GavinBarwellMP;#;7,44778E+17;https://twitter.com/BobDuffield/status/744777941830119424
BobDuffield;20/06/2016 08:29;0;0;@ iVoteLeave I guess this means 'hating' at least 50% of the people who put you in power. I am one. I abhor racism. # Brexit;;@;#;7,44779E+17;https://twitter.com/BobDuffield/status/744779223609446400
BobDuffield;20/06/2016 10:28;15;15;@Gjon777 Cameron will use anything. He's absolutely bricking it. May be he knows something we don't. # Brexit landslide?;;@Gjon777;#;7,44809E+17;https://twitter.com/BobDuffield/status/744809226883600384
BobDuffield;21/06/2016 14:46;0;0;Cameron merely pronounces from on high.Hehas steadfastly refused to debate the issues: he knows his arguments are weak # Brexit;;;#;7,45237E+17;https://twitter.com/BobDuffield/status/745236533997867008
BobDuffield;21/06/2016 14:52;5;6;Pronouncing from on High but refusing to debate the issues and test the arguments. Why? Because he would lose. # Brexit;;;#;7,45238E+17;https://twitter.com/BobDuffield/status/745237867862106112
BobDuffield;21/06/2016 15:08;0;0;@ GuidoFawkes Hilarious. Very much from the Juncker songbook! # Brexit;;@;#;7,45242E+17;https://twitter.com/BobDuffield/status/745241913385697280
BrixtonofJonnie;20/06/2016 18:24;0;0;@ IainDale Once upon a time a man called Clegg predicted millions of job losses through Brexit. Clegg now an overpaid speaker a la Blair.;;@;;7,44929E+17;https://twitter.com/BrixtonofJonnie/status/744929016889614337
BroadhurstJm;20/06/2016 22:14;0;0;The English working class will be the first victims of a Brexit vote | Billy Bragg http://gu.com/p/4m64f/stw;;;;7,44987E+17;https://twitter.com/BroadhurstJm/status/744986844081827840
BroughtonTowers;16/06/2016 17:04;0;0;Brexit would be GOOD for the EU, says top German Eurocrat http://dailym.ai/1txPUd3  viahttp://dailym.ai/android;;;;7,43459E+17;https://twitter.com/BroughtonTowers/status/743459243915939844
BroughtonTowers;17/06/2016 18:11;0;0;Britain should cut not raise taxes after Brexit says the IMF http://dailym.ai/1sIlzaV  viahttp://dailym.ai/android;;;;7,43838E+17;https://twitter.com/BroughtonTowers/status/743838493277888512
BroughtonTowers;19/06/2016 00:34;0;1;@ __GriffCo__ # EU # Brexit # UK # EUref I sincerely hope so. The EU is corrupt, run by unelected and unaccountable burocrats !;;@;# # # #;7,44297E+17;https://twitter.com/BroughtonTowers/status/744297196422561792
BunteGudrun;15/06/2016 11:55;0;0;# Brexit oder # Grexit, keiner weiß was, aber 100 mal drüber berichten, # Bilderberger lassen grüßen # WDR;;;# # # #;7,43019E+17;https://twitter.com/BunteGudrun/status/743019010808291328
Burkley91;22/06/2016 01:17;0;0;# Brexit;;;#;7,45395E+17;https://twitter.com/Burkley91/status/745395305353351169
BurnhamOC;20/06/2016 10:04;0;0;Chancellor George Osborne warns Brexit could pull plug on the Lower Thames… http://j.mp/28IgIPx # BurnhamOnCrouchpic.twitter.com/8wBZE76iK1;;;#;7,44803E+17;https://twitter.com/BurnhamOC/status/744803133130309634
CLanduyt;16/06/2016 18:48;0;0;"Brexit? Thou hast cast away thyself, being like thyself. A mad man so long, now a fool."" W. Shakespeare, Timon of Athens, act 4 scene 3.""";;;;7,43485E+17;https://twitter.com/CLanduyt/status/743485403865415680
CPons_UK;18/06/2016 15:57;1;0;France finance minister: Brexit would 'make UK like Guernsey' http://www.bbc.co.uk/news/uk-politics-eu-referendum-36567469 …;;;;7,44167E+17;https://twitter.com/CPons_UK/status/744167197459759104
Cameramartijn;21/06/2016 14:56;0;0;In Londen met Hans Schutte voor RTL nieuws bij twee Nederlandse zakendames. # brexit # protimeav @… https://www.instagram.com/p/BG6tW69nWoT/;;@;# #;7,45239E+17;https://twitter.com/Cameramartijn/status/745239074982731776
CamillaKerslake;22/06/2016 00:43;0;5;# RicoRobshaw contemplating # Brexit. . # VoteRemain # ImIn # StrongerTogether # TogetherStronger @… https://www.instagram.com/p/BG7wiTtMS75/;;@;# # # # # #;7,45387E+17;https://twitter.com/CamillaKerslake/status/745386799690768385
CarlyleRob;18/06/2016 11:07;0;0;.. or perhaps a term better used to describe those leading Brexit??;;;;7,44094E+17;https://twitter.com/CarlyleRob/status/744094278062870528
CavendishDS;20/06/2016 00:52;0;0;# brexit # decisions # vote # voteleave # inorout # eureferendum2016 # eu #@London, United Kingdom https://www.instagram.com/p/BG2n8rrRCqc/;;@London;# # # # # # # #;7,44664E+17;https://twitter.com/CavendishDS/status/744664228259311616
CavendishDS;20/06/2016 17:23;0;0;# brexit # eu # eureferendum2016 # voteleave # vote # inorout @London, United Kingdom https://www.instagram.com/p/BG4ZTlYxCtP/;;@London;# # # # # #;7,44914E+17;https://twitter.com/CavendishDS/status/744913503471996928
CheImsford;20/06/2016 10:21;3;1;Chancellor George Osborne warns Brexit could pull plug on the Lower Thames… http://j.mp/28Ik1pR # Chelmsfordpic.twitter.com/DLgY6pQYaR;;;#;7,44807E+17;https://twitter.com/CheImsford/status/744807281590579201
CheImsford;21/06/2016 13:00;0;0;"People are richer for us being in the EU"": Essex economist explains why Brexit… http://j.mp/28QhaeI # Chelmsfordpic.twitter.com/UpgnM3UdXq""";;;#;7,4521E+17;https://twitter.com/CheImsford/status/745209801966157824
