DailyKENT;19/06/2016 17:28;0;0;Chris Grayling visits Gurdwara temple in Gravesend during Brexit suspension after Jo… http://goo.gl/dsuOaP # Kentpic.twitter.com/FQBg7aVAMC;;;#;7,44552E+17;https://twitter.com/DailyKENT/status/744552352024133633
DailyNORFOLK;20/06/2016 09:36;0;0;Baroness Warsi blasts ‘hate and xenophobia’ of Brexit campaigners as she switches… http://www.edp24.co.uk/baroness_warsi_blasts_hate_and_xenophobia_of_brexit_campaigners_as_she_switches_to_remain_1_4583865?utm_source=dlvr.it&utm_medium=twitter … # Norfolkpic.twitter.com/uYlgUU2Vng;;;#;7,44796E+17;https://twitter.com/DailyNORFOLK/status/744796069360369664
DailyNORFOLK;21/06/2016 13:18;0;0;EU referendum quiz: Should you vote for Brexit or Remain? http://j.mp/28QmOO8 # Norfolkpic.twitter.com/uQG7IUWBw0;;;#;7,45214E+17;https://twitter.com/DailyNORFOLK/status/745214332078743552
DailyNORFOLK;21/06/2016 19:51;0;0;VIDEO: Iain Duncan Smith makes Brexit case during # KingsLynn walkabout http://j.mp/28SoTJ5 # Norfolkpic.twitter.com/yFJvxUzmwE;;;# #;7,45313E+17;https://twitter.com/DailyNORFOLK/status/745313146294796289
DailyNORTHANTS;18/06/2016 10:54;2;0;FARMING MATTERS: Brexit is best for many farmers says our columnist http://j.mp/24XiAr9 # Northantspic.twitter.com/pxNKDWZwYm;;;#;7,44091E+17;https://twitter.com/DailyNORTHANTS/status/744090838125285377
DailyNORTHANTS;20/06/2016 12:30;0;0;Kettering councillor apologises for Jo Cox Brexit remark http://j.mp/28IEHyc # Northantspic.twitter.com/4f77kj7E4l;;;#;7,4484E+17;https://twitter.com/DailyNORTHANTS/status/744839752352825344
DailyNORTHANTS;21/06/2016 09:18;1;0;Brexit banner to be flown over Northampton to encourage people to... http://j.mp/28Plk6L # Northants;;;#;7,45154E+17;https://twitter.com/DailyNORTHANTS/status/745153816090161152
DailyOXFORD;16/06/2016 17:10;0;0;Street poll suggests Didcot backs Brexit http://j.mp/23e8xP3 # Oxonpic.twitter.com/dXYnYYWYHf;;;#;7,43461E+17;https://twitter.com/DailyOXFORD/status/743460803538411520
DailyOXFORD;21/06/2016 19:55;1;0;'Brexit' plane set to cross Oxford this evening http://j.mp/28SqbE1 # Oxonpic.twitter.com/QbXD63FwG1;;;#;7,45314E+17;https://twitter.com/DailyOXFORD/status/745314268090753033
DailySHROPSHIRE;15/06/2016 17:37;0;0;EU referendum: Campaigners complain over school's Brexit film refusal http://j.mp/23agKUB # Shropshirepic.twitter.com/ahdvAJTM7R;;;#;7,43105E+17;https://twitter.com/DailySHROPSHIRE/status/743105201205215232
DailySHROPSHIRE;20/06/2016 10:01;0;1;EU Referendum: Brexit boat on Shropshire roadside targeted by vandals in attack http://j.mp/28IeQK8 # Shropshirepic.twitter.com/WTgqS4ZToY;;;#;7,44802E+17;https://twitter.com/DailySHROPSHIRE/status/744802363429445632
DailySHROPSHIRE;21/06/2016 10:33;4;2;EU referendum: Brexit trucks convoy heading to London from Shropshire http://j.mp/28PDSDI # Shropshirepic.twitter.com/HADTxq1Or2;;;#;7,45173E+17;https://twitter.com/DailySHROPSHIRE/status/745172705960296448
DailySHROPSHIRE;21/06/2016 22:25;0;0;EU referendum: Brexit trucks convoy heads to London from Shropshire http://j.mp/28PDSDI # Shropshirepic.twitter.com/zwAmSaM7hK;;;#;7,45352E+17;https://twitter.com/DailySHROPSHIRE/status/745351872282660864
DailySOMERSET;21/06/2016 19:27;0;0;EU Referendum: Brexit battle bus and Michael Gove MP coming to... http://j.mp/28Sh4Dw # Somerset;;;#;7,45307E+17;https://twitter.com/DailySOMERSET/status/745307094593609728
DailySUSSEX;18/06/2016 21:54;0;0;UK small and isolated nation if we Brexit - Peter James http://goo.gl/eiBYWr # Sussexpic.twitter.com/dmutvni0k9;;;#;7,44257E+17;https://twitter.com/DailySUSSEX/status/744257019792629761
DailyWORCS;20/06/2016 16:16;0;0;Multi-millionaire county investor backs Brexit, saying the EU stifles job… http://j.mp/28JL9Vx # Worcestershirepic.twitter.com/GTtrnbuzWt;;;#;7,44897E+17;https://twitter.com/DailyWORCS/status/744896637135257600
Daily_DEVON;21/06/2016 20:55;0;0;Foreign minister rubbishes Westcountry cabinet colleague's Brexit... http://j.mp/28SHTYc # Devonpic.twitter.com/X44Ax3vAhD;;;#;7,45329E+17;https://twitter.com/Daily_DEVON/status/745329223825383424
DasIgno;20/06/2016 10:03;0;1;Ah, die # Brexit-Panikmachewoche hat also begonnen. Musste ja auch langsam mal kommen.;;;#;7,44803E+17;https://twitter.com/DasIgno/status/744802857400950785
DavidLiles3;21/06/2016 20:48;0;0;Soros Says Brexit Would Make Some Speculators Rich, Voters Poor http://www.newsmax.com/Newsfront/BIZNEWS-BNALL-BNCOPY-BNCOPY2/2016/06/20/id/734782 … # Newsmax via @Newsmax_Media;;@Newsmax_Media;#;7,45328E+17;https://twitter.com/DavidLiles3/status/745327640723087361
DavidWoodhead26;15/06/2016 08:13;0;0;# Brexit Does @ Georgeosbourne really think we're going to vote to remain just'cos he's shit scared & threatening us with taxes? WHAT A TWAT !;;@;#;7,42963E+17;https://twitter.com/DavidWoodhead26/status/742963135301201920
DavidWoodhead26;15/06/2016 11:24;0;0;# Brexit I decided a long time ago. I don't understand how/why people think it's a difficult decision! You either believe in democracy or not;;;#;7,43011E+17;https://twitter.com/DavidWoodhead26/status/743011352650911744
DavidWoodhead26;16/06/2016 11:35;0;0;# Brexit There are 500 million people in the EU There are 21 Billion in the rest of the world Which is best for trade pic.twitter.com/6XwQOydz8F;;;#;7,43376E+17;https://twitter.com/DavidWoodhead26/status/743376437097402368
DavidWoodhead26;21/06/2016 15:13;0;0;# Brexit IN A NUTSHELL pic.twitter.com/RAcWmG15SM;;;#;7,45243E+17;https://twitter.com/DavidWoodhead26/status/745243341101608960
DavidWoodhead26;22/06/2016 00:15;0;0;# StrongerIn After # Brexit,No UK citizens will be allowed to travel on Eurostar;;;# #;7,4538E+17;https://twitter.com/DavidWoodhead26/status/745379644719796226
DavidWoodhead26;22/06/2016 00:16;0;1;# StrongerIn After # Brexit the UK will not be allowed to enter the Eurovision Song Contest..oh wait !;;;# #;7,4538E+17;https://twitter.com/DavidWoodhead26/status/745379983690981376
DavidWoodhead26;22/06/2016 00:45;0;0;After Brexit no UK football teams will be allowed to compete in the European Champions Cup,The UEFA Cup or the Rider Cup;;;;7,45387E+17;https://twitter.com/DavidWoodhead26/status/745387161130762241
DonatoRobilotta;21/06/2016 20:45;0;0;Mi auguro che gli Inglesi dicano no alla Brexit, sarebbe l'inizio della fine della UE. Bisogna modificarla non distruggerla.;;;;7,45327E+17;https://twitter.com/DonatoRobilotta/status/745326777418002432
Ecoclown;17/06/2016 19:43;0;0;# brexit plan to make shot for shot remake of Triumph of the Will.;;;#;7,43862E+17;https://twitter.com/Ecoclown/status/743861526189182976
EmilDrevsfeldt;21/06/2016 13:03;1;2;Har i dag fået infiltreret # LO til konference om Brexit. Spændende uge om et muligt Brexit er… https://www.instagram.com/p/BG6gbO9GsI_/;;;#;7,45211E+17;https://twitter.com/EmilDrevsfeldt/status/745210640579452928
Emma_Pud;16/06/2016 08:56;0;0;From @ Emma_Pud David says remain. # brexit # remain # eu # referendum # betterin # knitwear… https://www.instagram.com/p/BGtMLqbks9_/;;@;# # # # # #;7,43337E+17;https://twitter.com/Emma_Pud/status/743336531662802945
EnriqueCampos7;15/06/2016 08:22;0;0;Real Estate Woes Run Deeper Than Brexit, Signaling U.K. Slowdown http://dlvr.it/LZ01F2;;;;7,42966E+17;https://twitter.com/EnriqueCampos7/status/742965528373907456
EricJohnBrunner;16/06/2016 19:29;0;0;@ martinmckee # Brexit Jo Cox martyred for European unity.;;@;#;7,43496E+17;https://twitter.com/EricJohnBrunner/status/743495683076988928
EricJohnBrunner;16/06/2016 19:35;0;1;@ melb4886 # Brexit Tragedy begins. Jo Cox the first one. I fear for the future.;;@;#;7,43497E+17;https://twitter.com/EricJohnBrunner/status/743497149510475776
Essex_Marketing;15/06/2016 12:03;0;0;Marketers feel ‘left in the dark and unprepared’ for a potential Brexit http://dlvr.it/LZ3yBv # Essexpic.twitter.com/4jaaVgnSPf;;;#;7,43021E+17;https://twitter.com/Essex_Marketing/status/743021039572025345
Essex_Marketing;16/06/2016 13:08;4;1;What would Brexit mean for ‘ # brand Britain’? http://dlvr.it/LZXGd9 # Essexpic.twitter.com/2xK0LGRuHW;;;# #;7,434E+17;https://twitter.com/Essex_Marketing/status/743399782509514752
Essex_Marketing;16/06/2016 13:08;6;0;What would Brexit mean for recruiting talent? http://dlvr.it/LZXGJy # Essexpic.twitter.com/Yh46HvN4J9;;;#;7,434E+17;https://twitter.com/Essex_Marketing/status/743399773030387713
Essex_Marketing;16/06/2016 13:40;0;0;What would Brexit mean for # marketing regulations? http://dlvr.it/LZXvkN # Essexpic.twitter.com/j2f5Bmf4D6;;;# #;7,43408E+17;https://twitter.com/Essex_Marketing/status/743407836063903744
Essex_Marketing;20/06/2016 12:03;0;0;Nearly three quarters of Brits still haven’t seen any online video ads for the Brexit campaign http://dlvr.it/Lc5lTg # Essex;;;#;7,44833E+17;https://twitter.com/Essex_Marketing/status/744833054393262080
Europa_PPR;21/06/2016 19:37;0;1;Brexit or not Brexit Europe or not Europe Thats the question For the World & me, Europe is the best thing ! # BrexitOrNot # Europe;;;# #;7,4531E+17;https://twitter.com/Europa_PPR/status/745309605006286849
FSuzukiVidal;21/06/2016 14:08;0;0;# holidays in time of # brexit no GPS only this accurate map # seeyalater # exciting @Gatwick Airport https://www.instagram.com/p/BG6n1W1nf_J/;;@Gatwick;# # # #;7,45227E+17;https://twitter.com/FSuzukiVidal/status/745226930656423943
Faisal_Yaqoob_;15/06/2016 18:32;0;0;Which # universities would lose out from # Brexit? https://www.timeshighereducation.com/news/which-universities-would-lose-out-from-brexit …;;;# #;7,43119E+17;https://twitter.com/Faisal_Yaqoob_/status/743119060070739968
Faisal_Yaqoob_;21/06/2016 19:32;0;0;Margaret Thatcher’s pro-Europe jumper from 1975 is on sale again, because Brexit http://indy100.independent.co.uk/article/margaret-thatchers-proeurope-jumper-from-1975-is-on-sale-again-because-brexit--WJglyPMHFEb …;;;;7,45308E+17;https://twitter.com/Faisal_Yaqoob_/status/745308353614782464
FashionNewsUK;16/06/2016 18:03;0;0;U.S. Equity Markets Down on Brexit Concerns and Global Market Selloff http://j.mp/23egEeI # Fashionpic.twitter.com/Vf1xumFJzY;;;#;7,43474E+17;https://twitter.com/FashionNewsUK/status/743474011867275264
FashionNewsUK;17/06/2016 14:48;1;0;European Markets Bounce as Brexit Fears Diminish http://j.mp/24VFPSk # Fashionpic.twitter.com/hKMbUlOTdr;;;#;7,43787E+17;https://twitter.com/FashionNewsUK/status/743787324480225280
FashionNewsUK;20/06/2016 19:41;0;0;Europe Rallies on Brexit Poll, Bringing U.S. Stocks Along for the Ride http://j.mp/28J4bxS # Fashionpic.twitter.com/U7TQLuqxcY;;;#;7,44948E+17;https://twitter.com/FashionNewsUK/status/744948206245543936
Federicosi;21/06/2016 19:03;3;0;# Brexit in a sentimental mood @ radiopopmilano @ dario_falcinipic.twitter.com/KBThIIfBYz;;@ @;#;7,45301E+17;https://twitter.com/Federicosi/status/745301194256580608
FilippoHalb;17/06/2016 10:11;0;0;La campagna ricattatoria anti # Brexit di # UE, economia e finanza, è vergognosa. Pensino al perché siamo arrivati a questo punto, piuttosto.;;;# #;7,43718E+17;https://twitter.com/FilippoHalb/status/743717694386511872
GSMAlumni;16/06/2016 12:01;0;1;Eu referendum happening today in greenford at 1120am Mp Stephen Pound debates # Brexit # GSMHorizonAward # gsmcareerspic.twitter.com/t7gOvgdhZm;;;# # #;7,43383E+17;https://twitter.com/GSMAlumni/status/743383001581649920
Gi_dk;18/06/2016 08:12;0;0;@ OmnibusLa7 questa è propaganda, siete tutti contro brexit, cambio canale.;;@;;7,4405E+17;https://twitter.com/Gi_dk/status/744050085605085185
GideonAmosNo1;17/06/2016 09:16;0;0;What the fuck is a # Brexit ? Is it like a # Roxette but without a sterling # chorus ? @… https://www.instagram.com/p/BGvzOdxsV7z/;;@;# # #;7,43704E+17;https://twitter.com/GideonAmosNo1/status/743703864075911168
Golarestaurant;18/06/2016 18:30;0;0;# brexit # pasta # food # foodgasm # chef # restaurant # london # fulham # europe # londra # good… https://www.instagram.com/p/BGzXZGqFJkU/;;;# # # # # # # # # # #;7,44206E+17;https://twitter.com/Golarestaurant/status/744205606614089728
GonzaloHerrero;15/06/2016 20:11;0;2;Vote to remain in Europe. I'm in # brexit # voteremain # breastxit @London, United Kingdom https://www.instagram.com/p/BGr0h6Rswmg/;;@London;# # #;7,43144E+17;https://twitter.com/GonzaloHerrero/status/743143785899536385
GoreJess19;15/06/2016 21:11;0;1;I've made my vote, had my say. # vote # eu # europe # brexit # politics # post # stay @Morley (Nr Leeds) https://www.instagram.com/p/BGr7e51GOtV/;;@Morley;# # # # # # #;7,43159E+17;https://twitter.com/GoreJess19/status/743159071860199424
GregsonRachel;15/06/2016 10:02;1;1;1 thing more alarming than Brexit (except Trump) it is idea of an @ BorisJohnson @ MichaelGoveMP @PritiPatel_MP led government # VoteRemain;;@ @ @PritiPatel_MP;#;7,42991E+17;https://twitter.com/GregsonRachel/status/742990573976625152
GrigoreMacovei;21/06/2016 07:22;0;0;there will Be no brexit;;;;7,45125E+17;https://twitter.com/GrigoreMacovei/status/745124754625986560
GuardianTrustFX;15/06/2016 12:06;0;0;How To Trade # Forex -Trapped Traders® Daily Analysis - Selling # AUDUSD https://youtu.be/AtSlvjBmtEQ  via @ YouTube # Brexit # Fed;;@;# # # #;7,43022E+17;https://twitter.com/GuardianTrustFX/status/743021907776286720
GuardianTrustFX;15/06/2016 12:07;0;1;Trapped Traders® Daily Analysis - Selling # AUDUSD https://youtu.be/AtSlvjBmtEQ  via @ YouTube @ tradersdna @ HedgeThink # forex # Brexit;;@ @ @;# # #;7,43022E+17;https://twitter.com/GuardianTrustFX/status/743022214673502208
GuardianTrustFX;15/06/2016 12:39;1;2;RT @ TheEconomist @ tradersdna: Our guide to Britain's EU referendum http://econ.st/28DZ5Zg  pic.twitter.com/OQ87lOkEC5 # forex # Brexit;;@ @;# #;7,4303E+17;https://twitter.com/GuardianTrustFX/status/743030048664457216
GuardianTrustFX;15/06/2016 12:41;0;2;RT @ EnergyCyprus @ tradersdna: @ FXPRIMUS adds UK and US oil, spot oil http://www.energynewscyprus.com/fxprimus-adds-uk-and-us-oil-spot-oil-to-offering/ … pic.twitter.com/hAN19QT4xn # forex # Brexit;;@ @ @;# #;7,43031E+17;https://twitter.com/GuardianTrustFX/status/743030722781425664
GuardianTrustFX;15/06/2016 13:30;0;1;Japanese Yen crosses: Short-term Candlestick Levels - # EURJPY, # GBPJPY, # AUDJPY and # CADJPY. # forex # Brexit pic.twitter.com/KFQqnX4xg0;;;# # # # # #;7,43043E+17;https://twitter.com/GuardianTrustFX/status/743042953745158144
GuardianTrustFX;16/06/2016 13:36;0;0;How To Trade # Forex - Trapped Traders® Daily Analysis - Selling # NZDUSD https://youtu.be/FrlZPFcdOxk  via @ YouTube # Brexit # MT4;;@;# # # #;7,43407E+17;https://twitter.com/GuardianTrustFX/status/743406785004978176
GuardianTrustFX;16/06/2016 16:00;0;0;Trapped Traders® Daily Analysis - Selling # NZDUSD https://youtu.be/FrlZPFcdOxk  via @ YouTube # forextrading # Brexit;;@;# # #;7,43443E+17;https://twitter.com/GuardianTrustFX/status/743443192595488769
GuardianTrustFX;17/06/2016 12:13;0;1;How To Trade # Forex - Trapped Traders® Daily Analysis - Selling GBP/CHF https://youtu.be/fPrsS04WI00  via @ YouTube # Brexit # Grexit # EU;;@;# # # #;7,43748E+17;https://twitter.com/GuardianTrustFX/status/743748463834234882
GuardianTrustFX;17/06/2016 16:38;0;0;# Brexit Drama May Punish the British Pound and Friends- Op Ed http://financefeeds.com/weekly-fx-recap-brexit-drama-will-punish-british-pound-friends/ … via @ FXFinanceFeedspic.twitter.com/OByrWhNbt3;;@;#;7,43815E+17;https://twitter.com/GuardianTrustFX/status/743815046162153473
GuardianTrustFX;18/06/2016 14:21;0;0;How To Trade # Forex - Trapped Traders® Daily Analysis - Selling # GBPCHF https://youtu.be/fPrsS04WI00  via @ YouTube # Brexit # MT4;;@;# # # #;7,44143E+17;https://twitter.com/GuardianTrustFX/status/744142950767140864
GuardianTrustFX;18/06/2016 15:56;0;1;@ tradersdna # Forex Update: Selling # NZDUSD on Rallies into the Re... https://youtu.be/iw7pHaZaFfQ  via @ YouTube # Brexit # EU # MT4;;@ @;# # # # #;7,44167E+17;https://twitter.com/GuardianTrustFX/status/744166812011663361
GuardianTrustFX;18/06/2016 16:01;0;0;@ anyoption @ anyoptionEspana # Crude Oil Back on the Retreat http://www.tradersdna.com/commodities/crude-oil-back-retreat/ … via @ tradersdna # Brexit # forexpic.twitter.com/mxttOsezXZ;;@ @ @;# # #;7,44168E+17;https://twitter.com/GuardianTrustFX/status/744168169036746752
GuardianTrustFX;18/06/2016 16:39;1;1;@ FXPRIMUS Launches Brent Crude And # WTI http://www.tradersdna.com/forex/fxprimus-launches-brent-crude-wti/ … via @ tradersdna # Brexit # MT4 # forexpic.twitter.com/f6VesG1Jcf;;@ @;# # # #;7,44178E+17;https://twitter.com/GuardianTrustFX/status/744177743491964928
GuardianTrustFX;18/06/2016 16:50;0;0;RT @tradercollege: Prisma FX: Informe Análisis Fundamental | Viernes 17 de Junio... http://www.prismaforex.com/2016/06/informe-analisis-fundamental-viernes-17.html?spref=tw … # forex # Brexit;;@tradercollege;# #;7,44181E+17;https://twitter.com/GuardianTrustFX/status/744180515557752832
GuardianTrustFX;20/06/2016 12:21;0;0;# Forex Pro - Trapped Traders® Daily Analysis - Buying # USDCAD https://youtu.be/pF35w7V9aP4  via @ YouTube # forextrading # Brexit;;@;# # # #;7,44838E+17;https://twitter.com/GuardianTrustFX/status/744837564834656256
GuardianTrustFX;20/06/2016 16:05;1;3;@ _sterlingmedia_ @ Zaiwalla Leaders Share # Bremain Views http://www.tradersdna.com/latest-news/uk-leaders-share-bremain-views/ … via @ tradersdna # Brexit pic.twitter.com/W59IHwFsXh;;@ @ @;# #;7,44894E+17;https://twitter.com/GuardianTrustFX/status/744893893825683456
GuardianTrustFX;20/06/2016 16:51;0;0;#@YourDlyAnalysis Forex Pro - Forex Update: Weekly Currency Pair Overview https://youtu.be/j6TIThrO938  via @ YouTube # Brexit # EU # Grexit;;@YourDlyAnalysis @;# # # #;7,44906E+17;https://twitter.com/GuardianTrustFX/status/744905521849733120
GuardianTrustFX;20/06/2016 18:26;0;0;RT @tradercollege: Semana decisiva para la libra Esterlina - http://eepurl.com/b6hyL9 # GBPUSD # Brexit # forex;;@tradercollege;# # #;7,44929E+17;https://twitter.com/GuardianTrustFX/status/744929389385748480
GuardianTrustFX;20/06/2016 22:18;0;1;@ YourDlyAnalysis - # Forex Update: Weekly Currency Pair Overview https://youtu.be/j6TIThrO938  via @ YouTube # forextrading # Brexit;;@ @;# # #;7,44988E+17;https://twitter.com/GuardianTrustFX/status/744987720792039424
GuardianTrustFX;21/06/2016 19:27;0;0;# Forex Pro - Forex Update: Buying # USDCAD into the Support Zone https://youtu.be/D3GRL5AgyLc  via @ YouTube # Brexit # EU;;@;# # # #;7,45307E+17;https://twitter.com/GuardianTrustFX/status/745307064654831616
GuardianTrustFX;21/06/2016 19:27;0;0;# Forex Pro - Trapped Traders® Daily Analysis - Buying # AUDCHF https://youtu.be/2QXN84HFBcA  via @ YouTube # Grexit # Brexit # Bremain;;@;# # # # #;7,45307E+17;https://twitter.com/GuardianTrustFX/status/745307269173284864
GudmundsonUlla;15/06/2016 11:15;1;0;I predict next move by # Remain will be to present examples of how # Brexit wd hit ordinary individual Brits' economy.;;;# #;7,43009E+17;https://twitter.com/GudmundsonUlla/status/743008950170308608
GudmundsonUlla;15/06/2016 21:24;1;0;Leave post#Brexit roadmap incls law ending free EU migr to UK & EU Court jurisdiction. Do they seriously think there'd be no countermoves?;;;#Brexit;7,43162E+17;https://twitter.com/GudmundsonUlla/status/743162156867268608
H_M_H_B;15/06/2016 18:05;0;0;Bono says open our borders which is a good enough reason to close our borders... # brexit;;;#;7,43112E+17;https://twitter.com/H_M_H_B/status/743112226953912320
HangBlaa;15/06/2016 20:39;0;0;Why do so many # brexit supporters want EU to collapse in wake of UK's departure?;;;#;7,43151E+17;https://twitter.com/HangBlaa/status/743150949854756864
HantsEuroMove;16/06/2016 13:00;0;0;but it does equal who you will get. If we leave we will be governed by liars from Brexit as Boris Gove etc take over;;;;7,43398E+17;https://twitter.com/HantsEuroMove/status/743397822922268672
HantsEuroMove;16/06/2016 13:44;0;0;brexit gives despair. What risks would you like to talk about.;;;;7,43409E+17;https://twitter.com/HantsEuroMove/status/743408972737183744
Here_comes_Abs;15/06/2016 09:00;1;1;Absolutely fed up with all the bullsh*t from both sides on # Brexit but this made me smile today. Just be over! pic.twitter.com/FYiTn1LJTk;;;#;7,42975E+17;https://twitter.com/Here_comes_Abs/status/742975089491226624
Israelem;20/06/2016 18:05;0;0;Miedo al Brexit https://www.juandemariana.org/ijm-actualidad/analisis-diario/miedo-al-brexit … vía @ juandemariana;;@;;7,44924E+17;https://twitter.com/Israelem/status/744924265422688256
Israelem;21/06/2016 21:29;0;0;Últimas voluntades antes del Brexit, por @ diazvillanueva http://fernandodiazvillanueva.blogspot.com/2016/06/ultimas-voluntades-antes-del-brexit.html …;;@;;7,45338E+17;https://twitter.com/Israelem/status/745337780386017285
JeniJustice;17/06/2016 23:39;1;1;Let us leave or let us remain? vote in!!!! # brexit # votein # eu # remain… https://www.instagram.com/p/BGxV-4bqkHc/;;;# # # #;7,43921E+17;https://twitter.com/JeniJustice/status/743921032101240832
JessicaMayman;21/06/2016 13:55;0;0;Counting down to # BREXIT # london @Big Ben, London - Palace Of Westminster https://www.instagram.com/p/BG6mRpDgtJM/;;@Big;# #;7,45224E+17;https://twitter.com/JessicaMayman/status/745223504040071168
JezzaBrown69;17/06/2016 02:49;0;0;# brexit # nobrexit # fucktrump2016 # fucktrumpsupporters # fucktrump # fucktrumptho # fucktrump2k16… https://www.instagram.com/p/BGvG4pCDuiF/;;;# # # # # # #;7,43606E+17;https://twitter.com/JezzaBrown69/status/743606358008815620
JezzaTrev;21/06/2016 22:37;1;2;Granny contemplates # Brexit on his phone.... @The Balcon https://www.instagram.com/p/BG7iE1jo_gf/;;@The;#;7,45355E+17;https://twitter.com/JezzaTrev/status/745355000545705984
JimStenman;20/06/2016 00:17;0;0;Getting a crash course in how to run a teleprompter # cnn # behindthescenes # euref # brexit (photo… https://www.instagram.com/p/BG2j72XIjQa/;;;# # # #;7,44655E+17;https://twitter.com/JimStenman/status/744655401413672960
JoannieCo;15/06/2016 15:45;0;0;And # Osbourne will tax us to death! Haha # Brexit # VoteLeave;;;# # #;7,43077E+17;https://twitter.com/JoannieCo/status/743077087477682176
JoannieCo;16/06/2016 10:51;0;1;They come over. Claim for 6 months. Go stay in France for 1 night. Come back claim for 6 months. # VictoriaLive Brexit # VoteLeave # No2EU;;;# # #;7,43365E+17;https://twitter.com/JoannieCo/status/743365476101791744
JoannieCo;16/06/2016 10:58;0;1;Or leave kids n Romania... Still claim CB .. Leave country for 1 night...come back, start again.. # Brexit # VoteLeave;;;# #;7,43367E+17;https://twitter.com/JoannieCo/status/743367037595099136
JoannieCo;16/06/2016 11:05;0;0;I couldn't believe it when my friend told me. They have people here showing how to work the system. # Brexit;;;#;7,43369E+17;https://twitter.com/JoannieCo/status/743368888306569216
JoannieCo;16/06/2016 11:11;0;0;my friend was offered over £1200 per month when came over. But working now # Brexit. # VoteLeave;;;# #;7,4337E+17;https://twitter.com/JoannieCo/status/743370310297264128
JoannieCo;16/06/2016 11:30;0;0;# LeaveEuropeJointheROTW # Brexit! # VoteLeave For the sake of our sanity! For the sake of our country!;;;# # #;7,43375E+17;https://twitter.com/JoannieCo/status/743375090100887552
JoannieCo;16/06/2016 11:43;0;1;# SaveTheRomainianChildren # VoteLeave Stop greedy parents leaving them alone. its not right! # Brexit # SOS # VictoriaLive # No2EU;;;# # # # # #;7,43378E+17;https://twitter.com/JoannieCo/status/743378432340410368
JoannieCo;21/06/2016 00:00;0;0;Older and wiser # VoteLeave... # Newsnight # Brexit;;;# # #;7,45014E+17;https://twitter.com/JoannieCo/status/745013526247383040
KarateJesus44;19/06/2016 11:09;1;3;Let us spurn Brexit and remain a beacon of tolerance https://next.ft.com/content/7c7f2dbe-3474-11e6-bda0-04585c31b153 … via @ FTpic.twitter.com/GuCsuo4KPB;;@;;7,44457E+17;https://twitter.com/KarateJesus44/status/744456977447784448
Karyyeung;15/06/2016 11:36;0;0;# Brexit campaigners on the # RiverThames protesting # InOrOut # London # protest # referendum # uk… https://www.instagram.com/p/BGq5nfyNzxA/;;;# # # # # # #;7,43014E+17;https://twitter.com/Karyyeung/status/743014234292912128
KathrynCock;21/06/2016 23:28;0;1;So last night I dreamt # Brexit won and next day there was a zombie apocalypse. I'm not saying it was prophetic but, you never know # Remain;;;# #;7,45368E+17;https://twitter.com/KathrynCock/status/745367753918394368
KatsDekker;21/06/2016 19:43;4;7;No. I don't want # brexit. I want real cat food! # catsagainstbrexitpic.twitter.com/2tAa5dvpJq;;;# #;7,45311E+17;https://twitter.com/KatsDekker/status/745311145007910913
KilFer;16/06/2016 13:08;0;0;estrictamente no necesitan hacer campaña en Gibraltar... Porque Gibraltar ya está en contra del Brexit. Les perjudica.;;;;7,434E+17;https://twitter.com/KilFer/status/743399823689265152
KrhutTomas;20/06/2016 22:58;1;1;Ani nejčernější scénář není dost černý: Brexit bude Británii bolet, říká ministr  http://www.blesk.cz/clanek/zpravy-svet/401898/ani-nejcernejsi-scenar-neni-dost-cerny-brexit-bude-britanii-bolet-rika-ministr.html … prostřednictvím uživatele @ Blesk24;;@;;7,44998E+17;https://twitter.com/KrhutTomas/status/744997997734408192
KulpaBart;16/06/2016 16:45;0;0;". @ JeremyClarkson: ... James and I only agree on three things, which is ... and Britain staying in.” # Brexit # EUref # StrongerIn # Topgear""";;@;# # # #;7,43454E+17;https://twitter.com/KulpaBart/status/743454496609665024
LNACurrie;17/06/2016 11:56;12;8;Switzerland outside EU can borrow at negative rates for 30 years. So much for rate rise in # Brexit pic.twitter.com/pQnSOrYeSX # VoteLeave;;;# #;7,43744E+17;https://twitter.com/LNACurrie/status/743744014122258437
LNACurrie;18/06/2016 23:10;90;46;Great Britain's biggest newspaper, @ Telegraph endorses # Voteleave. Go for it Britain, Independence now! http://www.telegraph.co.uk/opinion/2016/06/18/we-must-vote-leave-to-create-a-britain-fit-for-the-future/ … # Brexit;;@;# #;7,44276E+17;https://twitter.com/LNACurrie/status/744276217604485122
LNACurrie;19/06/2016 01:09;20;11;Any Leftist against # Brexit supports should read this from the Guardian economics editor defecting to # VoteLeave http://www.theguardian.com/discussion/p/4yeh2 …;;;# #;7,44306E+17;https://twitter.com/LNACurrie/status/744306123314978816
LNACurrie;20/06/2016 14:17;0;0;"Cameron on video promising to be the strongest possible advocate for Turkey's EU membership"". RT please. # Brexit https://m.youtube.com/watch?v=Bqvc6ui1QHY …""";;;#;7,44867E+17;https://twitter.com/LNACurrie/status/744866856620691456
LNACurrie;20/06/2016 19:29;0;1;Is that Cameron in front of the wall shouting about the risks of change? https://twitter.com/Holbornlolz/status/744940599250391041/photo/1pic.twitter.com/hA6TcBldoB # VoteLeave # Brexit;;;# #;7,44945E+17;https://twitter.com/LNACurrie/status/744945387048435712
